signal-013,signal-014,signal-015,signal-017,signal-061,signal-062,signal-082,signal-114,signal-115,signal-122
0.269518717,0.422600619,0.265050821,0.391967165,0.817729898,0.699223085,0.517259786,0.861538462,0.867924528,0.879310345
0.26684492,0.44504644,0.261141517,0.403400762,0.817729898,0.697743618,0.482740214,0.861538462,0.867924528,0.879310345
0.271925134,0.42750258,0.268960125,0.400469071,0.817729898,0.696264151,0.517259786,0.861538462,0.867924528,0.879310345
0.26684492,0.43498452,0.265050821,0.394898857,0.817729898,0.694784684,0.517259786,0.861538462,0.867924528,0.879310345
0.271925134,0.430082559,0.283815481,0.397683964,0.817729898,0.695894562,0.517259786,0.861538462,0.867924528,0.879310345
0.27459893,0.440144479,0.261141517,0.400469071,0.816235873,0.694784684,0.517259786,0.861538462,0.867924528,0.879310345
0.264171123,0.430082559,0.272869429,0.394898857,0.814740851,0.689235294,0.482740214,0.861538462,0.867924528,0.879310345
0.271925134,0.455108359,0.268960125,0.400469071,0.816235873,0.694784684,0.482740214,0.861538462,0.867924528,0.879310345
0.271925134,0.4125387,0.265050821,0.383465259,0.817729898,0.69700444,0.482740214,0.861538462,0.867924528,0.879310345
0.271925134,0.44504644,0.276387803,0.400469071,0.815737864,0.692564928,0.517259786,0.861538462,0.867924528,0.879310345
0.279679144,0.430082559,0.257623143,0.394898857,0.817729898,0.695894562,0.517259786,0.861538462,0.867924528,0.879310345
0.295454545,0.44504644,0.272869429,0.400469071,0.815737864,0.69145394,0.517259786,0.861538462,0.867924528,0.879310345
0.27459893,0.437564499,0.261141517,0.400469071,0.816235873,0.692564928,0.517259786,0.861538462,0.867924528,0.879310345
0.279679144,0.480134159,0.265050821,0.403400762,0.816733881,0.69700444,0.482740214,0.861538462,0.867924528,0.879310345
0.279679144,0.4125387,0.257623143,0.394898857,0.81723189,0.692564928,0.517259786,0.861538462,0.867924528,0.879310345
0.285026738,0.42002064,0.261141517,0.400469071,0.817729898,0.69145394,0.551779359,0.861538462,0.867924528,0.879310345
0.285026738,0.422600619,0.268960125,0.391967165,0.818227907,0.695894562,0.517259786,0.861538462,0.867924528,0.879310345
0.27985738,0.457688338,0.272673964,0.400469071,0.818725915,0.695894562,0.551779359,0.861538462,0.867924528,0.879310345
0.274688075,0.42002064,0.276387803,0.391967165,0.815737864,0.69145394,0.551779359,0.861538462,0.867924528,0.879310345
